genome_ID	novelty_category	taxonomy
GCA_021299465.1_genomic	genus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__SXRF01;g__JAJTHB01;s__JAJTHB01 sp021299465
GCA_021372895.1_genomic	genus	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JAJFTP01;s__JAJFTP01 sp021372895
GCA_021779935.1_genomic	genus	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Koribacteraceae;g__JAJXZT01;s__JAJXZT01 sp021779935
GCA_021820665.1_genomic	genus	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__JAKADK01;s__JAKADK01 sp021820665
GCA_022651005.1_genomic	genus	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__JALCQC01;s__JALCQC01 sp022651005
GCA_022655215.1_genomic	genus	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__JALCUE01;s__JALCUE01 sp022655215
GCA_023386555.1_genomic	genus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JAEZDC01;s__JAEZDC01 sp023386555
GCA_020854915.1_genomic	genus	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__JAHKLT01;s__JAHKLT01 sp020854915
GCA_025057955.1_genomic	genus	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__Methanomethylicaceae;g__JANXER01;s__JANXER01 sp025057955
GCA_021810045.1_genomic	genus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__JAJZOM01;s__JAJZOM01 sp021810045
GCF_024362525.1_genomic	genus	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Natronobiforma;s__Natronobiforma sp024362525
GCA_021802055.1_genomic	genus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__JAKAFX01;s__JAKAFX01 sp021802055
GCF_024296665.1_genomic	genus	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__AD-4;s__AD-4 sp024296665
GCA_021820245.1_genomic	genus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__JAJZOT01;s__JAJZOT01 sp021820245
GCA_023487205.1_genomic	genus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__JAMDBT01;s__JAMDBT01 sp023487205
GCA_023489435.1_genomic	genus	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__JAJZOM01;s__JAJZOM01 sp023489435
GCA_021811935.1_genomic	genus	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Conexivisphaerales;f__DTJL01;g__JAKAPW01;s__JAKAPW01 sp021811935
GCA_019347805.1_genomic	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805
GCA_021160575.1_genomic	family	d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Methanomethylicales;f__JAGHCH01;g__JAGHCH01;s__JAGHCH01 sp021160575
GCA_023379385.1_genomic	family	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__JAMCUS01;g__JAMCUS01;s__JAMCUS01 sp023379385
GCA_020696385.1_genomic	family	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__JAGLSY01;g__JAGLSY01;s__JAGLSY01 sp020696385
GCA_020697715.1_genomic	family	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__SG8-5;f__JAGLSY01;g__JAGLSY01;s__JAGLSY01 sp020697715
GCA_023136265.1_genomic	family	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp023136265
GCA_023265395.1_genomic	family	d__Archaea;p__Thermoplasmatota;c__Themoplasmata_A;o__DTKX01;f__JAHFTX01;g__JAHFTX01;s__JAHFTX01 sp023265395
GCA_023269235.1_genomic	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHFTW01;g__JAHFTW01;s__JAHFTW01 sp023269235
GCA_022848865.1_genomic	family	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__RBG-16-68-12;f__JAGMCJ01;g__JAGMCJ01;s__JAGMCJ01 sp022848865
GCA_021163205.1_genomic	family	d__Archaea;p__Aenigmatarchaeota;c__Aenigmatarchaeia;o__GW2011-AR5;f__JAGGXF01;g__JAGGXF01;s__JAGGXF01 sp021163205
GCA_019429305.1_genomic	family	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__JAJBBL01;g__JAHYIR01;s__JAHYIR01 sp019429305
GCA_020073495.1_genomic	family	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__JAIQFD01;g__JAIQFD01;s__JAIQFD01 sp020073495
GCA_944388995.1_genomic	family	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__JAFGXN01;f__CALXOJ01;g__CALXOJ01;s__CALXOJ01 sp944388995
GCA_944390005.1_genomic	family	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__JAFGXN01;f__CALXOJ01;g__CALXOJ01;s__CALXOJ01 sp944390005
GCA_020072845.1_genomic	family	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__JAIQGF01;g__JAIQGF01;s__JAIQGF01 sp020072845
GCA_021108395.1_genomic	family	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__JAIOQZ01;g__JAIOQZ01;s__JAIOQZ01 sp021108395
GCA_021156175.1_genomic	family	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__JAJNBL01;g__JAJNBL01;s__JAJNBL01 sp021156175
GCA_020635855.1_genomic	family	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_A;f__JACJYZ01;g__JACJYZ01;s__JACJYZ01 sp020635855
GCA_020073185.1_genomic	family	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__JAIQGF01;g__JAIQGF01;s__JAIQGF01 sp020073185
GCA_022813675.1_genomic	family	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferrivibrionaceae;g__Deferrivibrio;s__Deferrivibrio sp022813675
GCA_024158125.1_genomic	order	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__JAMZFT01;f__JAMZFT01;g__JAMZFT01;s__JAMZFT01 sp024158125
GCA_020348925.1_genomic	order	d__Bacteria;p__TA06_A;c__DG-26_A;o__G020348925;f__G020348925;g__G020348925;s__G020348925 sp020348925
GCA_025059945.1_genomic	order	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__JANXDC01;f__JANXDC01;g__JANXDC01;s__JANXDC01 sp025059945
GCA_021808365.1_genomic	order	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAKBBU01;f__JAKBBU01;g__JAKBBU01;s__JAKBBU01 sp021808365
GCA_021774255.1_genomic	order	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAJFJF01;f__JAJFJF01;g__JAJFJF01;s__JAJFJF01 sp021774255
GCA_019694135.1_genomic	order	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__JADLBR01;f__JAIBCM01;g__JAIBCM01;s__JAIBCM01 sp019694135
GCA_021848885.1_genomic	order	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__JAJZTN01;f__JAJZTN01;g__JAJZTN01;s__JAJZTN01 sp021848885
GCA_023251875.1_genomic	order	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__JAHEXY01;f__JAHEXY01;g__JAHEXY01;s__JAHEXY01 sp023251875
GCA_021324815.1_genomic	order	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JAJPIJ01;f__JAJPIJ01;g__JAJPIJ01;s__JAJPIJ01 sp021324815
GCA_024234955.1_genomic	order	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JACKNK01;f__JACKNK01;g__JACKNK01;s__JACKNK01 sp024234955
GCA_019721075.1_genomic	order	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Sysuiplasmatales;f__Sysuiplasmataceae;g__Sysuiplasma;s__Sysuiplasma jiujiangense
GCA_019721035.1_genomic	order	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Sysuiplasmatales;f__Sysuiplasmataceae;g__Sysuiplasma;s__Sysuiplasma acidicola
GCA_021813385.1_genomic	order	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__JAKAKT01;f__JAKAKT01;g__JAKAKT01;s__JAKAKT01 sp021813385
GCA_021811925.1_genomic	order	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Sysuiplasmatales;f__Sysuiplasmataceae;g__JAJZXY01;s__JAJZXY01 sp021811925
GCA_024281315.1_genomic	order	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__JAJSAE01;f__JAJSAE01;g__JAJSAE01;s__JAJSAE01 sp024281315
GCA_021817225.1_genomic	order	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Sysuiplasmatales;f__Sysuiplasmataceae;g__JAJZXY01;s__JAJZXY01 sp021817225
GCA_021806165.1_genomic	order	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Sysuiplasmatales;f__Sysuiplasmataceae;g__JAJZXY01;s__JAJZXY01 sp021806165
GCA_019720975.1_genomic	order	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Sysuiplasmatales;f__Sysuiplasmataceae;g__Sysuiplasma;s__Sysuiplasma superficiale
GCA_020723935.1_genomic	order	d__Archaea;p__SpSt-1190;c__SpSt-1190;o__DYHY01;f__DYHY01;g__DYHY01;s__DYHY01 sp020723935
GCA_020351895.1_genomic	order	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__GCA-020350865;f__GCA-020350865;g__GCA-020348445;s__GCA-020348445 sp020351895
GCA_022072165.1_genomic	class	d__Bacteria;p__4484-113;c__JAJVIF01;o__JAJVIF01;f__JAJVIF01;g__JAJVIF01;s__JAJVIF01 sp022072165
GCA_021811325.1_genomic	class	d__Bacteria;p__Bacillota_E;c__JAJYWN01;o__JAJYWN01;f__JAJZPE01;g__JAJZPE01;s__JAJZPE01 sp021811325
GCA_021799275.1_genomic	class	d__Bacteria;p__Bacillota_E;c__JAJZYS01;o__JAJZYS01;f__JAJYTV01;g__JAJZQO01;s__JAJZQO01 sp021799275
GCA_021845645.1_genomic	class	d__Bacteria;p__Bacillota_E;c__JAJZYS01;o__JAJZYS01;f__JAJYTV01;g__JAJZQO01;s__JAJZQO01 sp021845645
GCA_021810565.1_genomic	class	d__Bacteria;p__Bacillota_E;c__JAJZIM01;o__JAJZIM01;f__JAJZIM01;g__JAJZIM01;s__JAJZIM01 sp021810565
GCA_024277065.1_genomic	class	d__Bacteria;p__Planctomycetota;c__JAJSAM01;o__JAKLKS01;f__JAJVHW01;g__JAJRPF01;s__JAJRPF01 sp024277065
GCA_023475165.1_genomic	class	d__Bacteria;p__Bacillota_E;c__JAMCWA01;o__JAMCWA01;f__JAMCWA01;g__JAMCWA01;s__JAMCWA01 sp023475165
GCA_023150535.1_genomic	class	d__Bacteria;p__Planctomycetota;c__JAJSAM01;o__JAKLKS01;f__JAKLKS01;g__JAKLKS01;s__JAKLKS01 sp023150535
GCA_022763185.1_genomic	class	d__Bacteria;p__Bdellovibrionota;c__JALEGL01;o__JALEGL01;f__JALEGL01;g__JALEGL01;s__JALEGL01 sp022763185
GCA_023251915.1_genomic	class	d__Bacteria;p__Actinomycetota;c__JAHEXW01;o__JAHEXW01;f__JAHEXW01;g__JAHEXW01;s__JAHEXW01 sp023251915
GCA_021803575.1_genomic	class	d__Bacteria;p__Bacillota_E;c__JAJZYS01;o__JAJZYS01;f__JAJZLH01;g__JAJZLH01;s__JAJZLH01 sp021803575
GCA_020052375.1_genomic	class	d__Bacteria;p__Actinomycetota;c__JAHEXW01;o__JAHEXW01;f__JAGVPG01;g__JAGVPG01;s__JAGVPG01 sp020052375
GCA_021791495.1_genomic	class	d__Bacteria;p__Bacillota_E;c__JAJYWN01;o__JAJYWN01;f__JAJYWN01;g__JAJYWN01;s__JAJYWN01 sp021791495
GCA_021787335.1_genomic	class	d__Bacteria;p__Bacillota_E;c__JAJYWN01;o__JAJYWN01;f__JAJZPE01;g__JAJZPE01;s__JAJZPE01 sp021787335
GCA_020696345.1_genomic	class	d__Archaea;p__Thermoplasmatota;c__JAEHCK01;o__JAEHCK01;f__JAEHCK01;g__JAEHCK01;s__JAEHCK01 sp020696345
GCA_024720975.1_genomic	class	d__Archaea;p__Thermoproteota;c__JANJXX01;o__JANJXX01;f__JANJXX01;g__JANJXX01;s__JANJXX01 sp024720975
GCA_022615805.1_genomic	class	d__Archaea;p__Thermoplasmatota;c__JAKEGO01;o__JAKEGO01;f__JAKEGO01;g__JAKEGO01;s__JAKEGO01 sp022615805
GCA_020356005.1_genomic	class	d__Archaea;p__Thermoplasmatota;c__JAEHCK01;o__JAEHCK01;f__GCA-020356005;g__GCA-020356005;s__GCA-020356005 sp020356005
GCA_021163045.1_genomic	class	d__Archaea;p__Thermoproteota;c__JANJXX01;o__JANJXX01;f__JANJXX01;g__JAGGXM01;s__JAGGXM01 sp021163045
GCA_021162905.1_genomic	class	d__Archaea;p__Asgardarchaeota;c__JAGGXT01;o__JAGGXT01;f__JAGGXT01;g__JAGGXT01;s__JAGGXT01 sp021162905
GCA_023132135.1_genomic	phylum	d__Bacteria;p__JAGLYR01;c__JAGLYR01;o__JAGLYR01;f__JAGLYR01;g__JAGLYR01;s__JAGLYR01 sp023132135
GCA_023133295.1_genomic	phylum	d__Bacteria;p__AUK180;c__AUK180;o__AUK180;f__AUK180;g__JAGLWT01;s__JAGLWT01 sp023133295
GCA_024655865.1_genomic	phylum	d__Bacteria;p__JANLFM01;c__JANLFM01;o__JANLFM01;f__JANLFM01;g__JANLFM01;s__JANLFM01 sp024655865
GCA_024655965.1_genomic	phylum	d__Bacteria;p__JANLFM01;c__JANLFM01;o__JANLFM01;f__JANLFM01;g__JANLFM01;s__JANLFM01 sp024655965
GCA_023144005.1_genomic	phylum	d__Bacteria;p__AUK180;c__AUK180;o__AUK180;f__AUK180;g__JAGLWT01;s__JAGLWT01 sp023144005
GCA_021787665.1_genomic	phylum	d__Bacteria;p__JAMCPX01;c__JAMCPX01;o__JAMCPX01;f__JAMCPX01;g__JAMCVD01;s__JAMCVD01 sp021787665
GCA_020434085.1_genomic	phylum	d__Bacteria;p__JAGRBM01;c__JAGRBM01;o__JAGRBM01;f__JAGRBM01;g__JAGRBM01;s__JAGRBM01 sp020434085
GCA_919901855.1_genomic	phylum	d__Bacteria;p__CAKKQC01;c__CAKKQC01;o__CAKKQC01;f__CAKKQC01;g__CAKKQC01;s__CAKKQC01 sp919901855
GCA_023381995.1_genomic	phylum	d__Bacteria;p__JAMCPX01;c__JAMCPX01;o__JAMCPX01;f__JAMCPX01;g__JAMCVD01;s__JAMCVD01 sp023381995
GCA_021787655.1_genomic	phylum	d__Bacteria;p__JAMCPX01;c__JAMCPX01;o__JAMCPX01;f__JAMCPX01;g__JAJYLM01;s__JAJYLM01 sp021787655
GCA_022562795.1_genomic	phylum	d__Bacteria;p__JADFOP01;c__JADFOP01;o__JADFOP01;f__JADFOP01;g__JADFOP01;s__JADFOP01 sp022562795
GCA_023382265.1_genomic	phylum	d__Bacteria;p__JAMCPX01;c__JAMCPX01;o__JAMCPX01;f__JAMCPX01;g__JAMCPX01;s__JAMCPX01 sp023382265
GCA_021162505.1_genomic	phylum	d__Bacteria;p__AUK180;c__AUK180;o__AUK180;f__AUK180;g__AUK180;s__AUK180 sp021162505
GCA_021790555.1_genomic	phylum	d__Bacteria;p__JAJYCY01;c__JAJYCY01;o__JAJYGY01;f__JAJYGY01;g__JAJYGY01;s__JAJYGY01 sp021790555
GCA_021792615.1_genomic	phylum	d__Bacteria;p__JAMCPX01;c__JAMCPX01;o__JAMCPX01;f__JAMCPX01;g__JAMDCL01;s__JAMDCL01 sp021792615
GCA_021789095.1_genomic	phylum	d__Bacteria;p__JAMCPX01;c__JAMCPX01;o__JAMCPX01;f__JAMCPX01;g__JAJYJX01;s__JAJYJX01 sp021789095
GCA_021800575.1_genomic	phylum	d__Bacteria;p__JAMCPX01;c__JAMCPX01;o__JAMCPX01;f__JAMCPX01;g__JAJYLM01;s__JAJYLM01 sp021800575
GCA_024275095.1_genomic	phylum	d__Bacteria;p__JAJRZV01;c__JAJRZV01;o__JAJRZV01;f__JAJRZV01;g__JAJRZV01;s__JAJRZV01 sp024275095
GCA_013154095.1_genomic	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095
GCA_024860865.1_genomic	phylum	d__Archaea;p__JACRDV01;c__JACRDV01;o__JACRDV01;f__JACRDV01;g__JACRDV01;s__JACRDV01 sp024860865
