genome	tool	rank	metric	value	novelty_category	taxonomy	kingdom	novelty_category_novel	tool2
GCA_013154095.1_genomic	kraken	kingdom	Bray-Curtis distance	0.462591348025133	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Kraken2+Bracken
GCA_013154095.1_genomic	kraken	phylum	Bray-Curtis distance	0.499690639570823	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Kraken2+Bracken
GCA_013154095.1_genomic	kraken	class	Bray-Curtis distance	0.499690639570823	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Kraken2+Bracken
GCA_013154095.1_genomic	kraken	order	Bray-Curtis distance	0.499678128333666	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Kraken2+Bracken
GCA_013154095.1_genomic	kraken	family	Bray-Curtis distance	0.499703150182274	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Kraken2+Bracken
GCA_013154095.1_genomic	kraken	genus	Bray-Curtis distance	0.499778200713789	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Kraken2+Bracken
GCA_013154095.1_genomic	kraken	species	Bray-Curtis distance	0.499765693855587	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Kraken2+Bracken
GCA_013154095.1_genomic	sourmash	kingdom	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	sourmash
GCA_013154095.1_genomic	sourmash	phylum	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	sourmash
GCA_013154095.1_genomic	sourmash	class	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	sourmash
GCA_013154095.1_genomic	sourmash	order	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	sourmash
GCA_013154095.1_genomic	sourmash	family	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	sourmash
GCA_013154095.1_genomic	sourmash	genus	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	sourmash
GCA_013154095.1_genomic	sourmash	species	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	sourmash
GCA_013154095.1_genomic	kaiju	kingdom	Bray-Curtis distance	0.448727845850537	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	kaiju	phylum	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	kaiju	class	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	kaiju	order	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	kaiju	family	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	kaiju	genus	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	kaiju	species	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	map2b	kingdom	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	map2b	phylum	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	map2b	class	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	map2b	order	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	map2b	family	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	map2b	genus	Bray-Curtis distance	0.5	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	map2b	species	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	
GCA_013154095.1_genomic	metabuli	kingdom	Bray-Curtis distance	0.349271965002481	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Metabuli
GCA_013154095.1_genomic	metabuli	phylum	Bray-Curtis distance	0.490957047504902	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Metabuli
GCA_013154095.1_genomic	metabuli	class	Bray-Curtis distance	0.489308666831863	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Metabuli
GCA_013154095.1_genomic	metabuli	order	Bray-Curtis distance	0.478722695515551	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Metabuli
GCA_013154095.1_genomic	metabuli	family	Bray-Curtis distance	0.469728128045168	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Metabuli
GCA_013154095.1_genomic	metabuli	genus	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Metabuli
GCA_013154095.1_genomic	metabuli	species	Bray-Curtis distance	1	phylum	d__Archaea;p__JAADDD01;c__JAADDD01;o__JAADDD01;f__JAADDD01;g__JAADDD01;s__JAADDD01 sp013154095	novel Archaea	novel phylum	Metabuli
GCA_019347805.1_genomic	singlem	kingdom	Bray-Curtis distance	0.0131067961165048	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	SingleM
GCA_019347805.1_genomic	singlem	phylum	Bray-Curtis distance	0.034136546184739	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	SingleM
GCA_019347805.1_genomic	singlem	class	Bray-Curtis distance	0.185323052379686	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	SingleM
GCA_019347805.1_genomic	singlem	order	Bray-Curtis distance	0.248561565017261	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	SingleM
GCA_019347805.1_genomic	singlem	family	Bray-Curtis distance	0.381039755351682	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	SingleM
GCA_019347805.1_genomic	singlem	genus	Bray-Curtis distance	0.379901960784314	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	SingleM
GCA_019347805.1_genomic	singlem	species	Bray-Curtis distance	0.341145833333333	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	SingleM
GCA_019347805.1_genomic	metaphlan	kingdom	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	MetaPhlAn
GCA_019347805.1_genomic	metaphlan	phylum	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	MetaPhlAn
GCA_019347805.1_genomic	metaphlan	class	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	MetaPhlAn
GCA_019347805.1_genomic	metaphlan	order	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	MetaPhlAn
GCA_019347805.1_genomic	metaphlan	family	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	MetaPhlAn
GCA_019347805.1_genomic	metaphlan	genus	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	MetaPhlAn
GCA_019347805.1_genomic	metaphlan	species	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	MetaPhlAn
GCA_019347805.1_genomic	motus	kingdom	Bray-Curtis distance	0.499999999	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	motus	phylum	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	motus	class	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	motus	order	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	motus	family	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	motus	genus	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	motus	species	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	kraken	kingdom	Bray-Curtis distance	0.469884891379665	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Kraken2+Bracken
GCA_019347805.1_genomic	kraken	phylum	Bray-Curtis distance	0.483306607460236	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Kraken2+Bracken
GCA_019347805.1_genomic	kraken	class	Bray-Curtis distance	0.497714849758214	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Kraken2+Bracken
GCA_019347805.1_genomic	kraken	order	Bray-Curtis distance	0.498604787919247	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Kraken2+Bracken
GCA_019347805.1_genomic	kraken	family	Bray-Curtis distance	0.499770082170192	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Kraken2+Bracken
GCA_019347805.1_genomic	kraken	genus	Bray-Curtis distance	0.499587343836293	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Kraken2+Bracken
GCA_019347805.1_genomic	kraken	species	Bray-Curtis distance	0.49982762961556	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Kraken2+Bracken
GCA_019347805.1_genomic	sourmash	kingdom	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	sourmash
GCA_019347805.1_genomic	sourmash	phylum	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	sourmash
GCA_019347805.1_genomic	sourmash	class	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	sourmash
GCA_019347805.1_genomic	sourmash	order	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	sourmash
GCA_019347805.1_genomic	sourmash	family	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	sourmash
GCA_019347805.1_genomic	sourmash	genus	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	sourmash
GCA_019347805.1_genomic	sourmash	species	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	sourmash
GCA_019347805.1_genomic	kaiju	kingdom	Bray-Curtis distance	0.00181468492837986	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	kaiju	phylum	Bray-Curtis distance	0.500005192582677	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	kaiju	class	Bray-Curtis distance	0.500005192582677	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	kaiju	order	Bray-Curtis distance	1	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	kaiju	family	Bray-Curtis distance	1	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	kaiju	genus	Bray-Curtis distance	1	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	kaiju	species	Bray-Curtis distance	1	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	map2b	kingdom	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	map2b	phylum	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	map2b	class	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	map2b	order	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	map2b	family	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	map2b	genus	Bray-Curtis distance	0.5	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	map2b	species	Bray-Curtis distance	1	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	
GCA_019347805.1_genomic	metabuli	kingdom	Bray-Curtis distance	0.450825498737487	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Metabuli
GCA_019347805.1_genomic	metabuli	phylum	Bray-Curtis distance	0.480630197369545	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Metabuli
GCA_019347805.1_genomic	metabuli	class	Bray-Curtis distance	0.489803713631693	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Metabuli
GCA_019347805.1_genomic	metabuli	order	Bray-Curtis distance	0.482506705272866	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Metabuli
GCA_019347805.1_genomic	metabuli	family	Bray-Curtis distance	0.480481193532368	family	d__Archaea;p__Thermoplasmatota;c__E2;o__JACPAO01;f__JAHWKR01;g__JAHWKR01;s__JAHWKR01 sp019347805	novel Archaea	novel family	Metabuli
